"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type","is.lhn","layer","ct.layer","classic.transmitter","other.transmitter"
639240544,"SLP013a","ADL02","ADL02l","ADL02k_pct","FALSE","LHON","LHAD1f3","SLPal1","DPLal1","3188248","poor","none","none",FALSE,FALSE,"LHAD1","LHAD1f3b",TRUE,4.13886010362694,4,"acetylcholine","acetylcoline"
390953189,"SLP013b","ADL02","ADL02l","ADL02lk_pct","FALSE","LHON","LHAD1f3","SLPal1","DPLal1","9208086","poor","VGlut-F-400863","medium",FALSE,FALSE,"LHAD1","LHAD1f3a",TRUE,3.55590386624869,4,"acetylcholine","acetylcoline"
5901193642,"SLP013b","ADL02","ADL02l","ADL02lk_pct","FALSE","LHON","LHAD1f3","SLPal1","DPLal1","9208086","poor","Cha-F-300272","good",FALSE,FALSE,"LHAD1","LHAD1f3a",TRUE,3.59749739311783,4,"acetylcholine","acetylcoline"
359901157,"SLP017e","ADL03","ADL03o","ADL03m_g_pct","FALSE","LHON","LHAD1i1","SLPal2_ventral","DPLal3_ventral","2154566","medium","none","none",TRUE,FALSE,"LHAD1","LHAD1i1",TRUE,4.38733125649013,4,"acetylcholine","acetylcoline"
359905678,"SLP017e","ADL03","ADL03o","ADL03m_g_pct","FALSE","LHON","LHAD1i1","SLPal2_ventral","DPLal3_ventral","2613237","poor","none","none",TRUE,FALSE,"LHAD1","LHAD1i1",TRUE,4.08618899273105,4,"acetylcholine","acetylcoline"
452651486,"SLP017e","ADL03","ADL03o","ADL03m_g_pct","FALSE","LHON","LHAD1i1","SLPal2_ventral","DPLal3_ventral","none","none","none","none",TRUE,FALSE,"LHAD1","LHAD1i1",TRUE,4.49793388429752,4,"acetylcholine","acetylcoline"
328542009,"SLP017g","ADL03","ADL03o","ADL03n_pct","FALSE","LHON","LHAD1i2","SLPal2_ventral","DPLal3_ventral","2154566","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1i2b",TRUE,4.36363636363636,4,"acetylcholine","acetylcoline"
452323015,"SLP017g","ADL03","ADL03o","ADL03n_pct","FALSE","LHON","LHAD1i2","SLPal2_ventral","DPLal3_ventral","1187681","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1i2b",TRUE,4.34854771784232,4,"acetylcholine","acetylcoline"
981547981,"SLP017g","ADL03","ADL03o","ADL03n_pct","FALSE","LHON","LHAD1i2","SLPal2_ventral","DPLal3_ventral","1187681","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1i2b",TRUE,4.11625514403292,4,"acetylcholine","acetylcoline"
360932188,"SLP017m","ADL03","ADL03o","ADL03p_pct","FALSE","LHON","LHAD1a4","SLPal2_ventral","DPLal3_ventral","1187681","poor","none","none",TRUE,TRUE,"LHAD1","LHAD1a4b",TRUE,4.09268795056643,4,"acetylcholine","acetylcoline"
