"L168","GMR_25B07_AV_01-20141212_41_F1","46A08","25B07","3B","1","Yes","20X Paavo 2015","Yes_TI_wk11","Yes-TI_wk15-16 (flycore)","Yes","None","SplitGAL4annotate/Image/Untitled_54.jpgSplitGAL4annotate/Image/Untitled_54.jpg"
"L170","GMR_25B07_AV_01-20141212_41_F3","55C05","25B07","3B","1","Yes","Yes","Yes_TI_wk11","Yes-TI_wk7","Yes","None","SplitGAL4annotate/Image/Untitled_56.jpgSplitGAL4annotate/Image/Untitled_56.jpg"
"L166","GMR_25B07_AV_01-20141219_42_B5","31D07","25B07","3A","1","Yes","20X Shiuan-Tze 2015","Yes_TI-wk22","Yes-TI_wk15-16 (flycore)","Yes","Weak","SplitGAL4annotate/Image/Untitled_58.jpgSplitGAL4annotate/Image/Untitled_58.jpg"
"L180","GMR_30E03_XD_01-20141219_42_C5","24C08","30E03","1C","1","Yes","20X Paavo 2015","Yes_TI_wk1","Yes-TI_wk15-16 (flycore)","Yes","Weak","SplitGAL4annotate/Image/Untitled_60.jpgSplitGAL4annotate/Image/Untitled_60.jpg"
"L185","GMR_30H02_AV_01-20141212_41_A1","20A03","30H02","29C","1","Yes","Yes","","Yes-TI_flycore_18Apr-30May16","Yes","Weak","SplitGAL4annotate/Image/Untitled_62.jpgSplitGAL4annotate/Image/Untitled_62.jpg"
"L188","GMR_30H02_AV_01-20141219_42_D1","47B03","30H02","29C","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk11","Case4_Wk1","Yes","Weak","SplitGAL4annotate/Image/Untitled_64.jpgSplitGAL4annotate/Image/Untitled_64.jpg"
"","","","","(1A)","","","","","","","",""
"L194","GMR_31B01_AV_01-20141219_42_D3","22A12","31B01","116A","2","Yes","Yes","Yes_TI_wk2","Yes-TI_wk7","No","Needimage","SplitGAL4annotate/Image/Untitled_66.jpgSplitGAL4annotate/Image/Untitled_66.jpg"
"L200","GMR_31D07_AV_01-20141219_42_D4","25B07","31D07","3A","1","Yes","Yes","Yes_TI_wk2","Yes-TI_flycore_18Apr-30May16","Yes","Needimage","SplitGAL4annotate/Image/Untitled_68.jpgSplitGAL4annotate/Image/Untitled_68.jpg"
"L204","GMR_31D07_AV_01-20141219_42_D5","43D01","31D07","8A","1","Yes","Yes","Yes_TI_wk2","","Yes","Needimage","SplitGAL4annotate/Image/Untitled_70.jpgSplitGAL4annotate/Image/Untitled_70.jpg"
"L219","GMR_33E02_AV_01-20141219_42_D6","25B07","33E02","3A","2","No","Yes","Yes_TI_wk2","","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_72.jpgSplitGAL4annotate/Image/Untitled_72.jpg"
