"L605","JRC_SS03771-20150227_41_C4","22B02","10B09","138","1","Yes","No","","Yes-TI_wk3","Yes","Weak","SplitGAL4annotate/Image/Untitled_211.jpgSplitGAL4annotate/Image/Untitled_211.jpg"
"L1828","JRC_SS03773-20150227_41_C6","64B08","95F09","29E","1","Yes","No","Yes_TI-wk26","Yes-TI_wk8","Yes","Strong","SplitGAL4annotate/Image/Untitled_213.jpgSplitGAL4annotate/Image/Untitled_213.jpg"
"L719","JRC_SS03789-20150227_41_B5","34C08","17B08","12A","1","Yes","No","Yes_TI_wk9","Yes-TI_wk3","Yes","Medium","SplitGAL4annotate/Image/Untitled_215.jpgSplitGAL4annotate/Image/Untitled_215.jpg"
"L717","JRC_SS03788-20150227_41_B6","11G08","16H04","54B","1","Yes","","Yes_TI_wk17","Yes-TI_wk10","Yes","Weak","SplitGAL4annotate/Image/Untitled_217.jpgSplitGAL4annotate/Image/Untitled_217.jpg"
"L1666","JRC_SS03790-20150227_41_B2","50H07","85A07","70A","1","Yes","","Yes_TI-wk22","","Yes","Weak","SplitGAL4annotate/Image/Untitled_219.jpgSplitGAL4annotate/Image/Untitled_219.jpg"
"L578","JRC_SS03776-20150227_41_D2","70G02","94F11","123","1","Yes","Maybe","Yes_TI_wk5","Yes-TI_flycore_18Apr-30May16","Yes","Medium","SplitGAL4annotate/Image/Untitled_221.jpgSplitGAL4annotate/Image/Untitled_221.jpg"
"L1668","SS03791-20150227_41_C1","65H10","85A07","70A","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk5","Yes-TI_flycore_18Apr-30May16","Yes","None","SplitGAL4annotate/Image/Untitled_223.jpgSplitGAL4annotate/Image/Untitled_223.jpg"
"L1531","JRC_SS03797-20150227_41_D6","85A07","66A08","70D","1","Yes","Maybe","","Yes-TI_wk10","Yes","Medium","SplitGAL4annotate/Image/Untitled_225.jpgSplitGAL4annotate/Image/Untitled_225.jpg"
"L1543","JRC_SS03799-20150227_41_E2","76E07","66B12","17A","1","Yes","20X Shiuan-Tze 2015","","Yes-TI_wk3","Yes","Weak","SplitGAL4annotate/Image/Untitled_227.jpgSplitGAL4annotate/Image/Untitled_227.jpg"
"L784","JRC_SS03802-20150227_41_E4","49G06","22A12","4A","1","Yes","20X Paavo 2015","Yes_TI-wk27","Yes-TI_wk8","Yes","Weak","SplitGAL4annotate/Image/Untitled_229.jpgSplitGAL4annotate/Image/Untitled_229.jpg"
"L1570","JRC_SS03800-20150227_41_E3","76C08","76E07","17C","1","Yes","Maybe","Yes_TI_wk5","Yes-TI_wk4","Yes","Medium","SplitGAL4annotate/Image/Untitled_231.jpgSplitGAL4annotate/Image/Untitled_231.jpg"
"L1518","JRC_SS03801-20150227_41_F1","85A07","65H10","70A","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk6","Yes-TI_wk4","Yes","Weak","SplitGAL4annotate/Image/Untitled_233.jpgSplitGAL4annotate/Image/Untitled_233.jpg"
"L1112","GMR_41H07_AV_01-20150313_46_A2","37E08","41H07	","70C","1","Yes","Maybe","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Weak","SplitGAL4annotate/Image/Untitled_235.jpgSplitGAL4annotate/Image/Untitled_235.jpg"
"L728","JRC_SS03795-20150227_41_D4","76E07","18B11","17C","1","Yes","20X Paavo 2015","Yes_TI_wk6","Case4_Wk1","Yes","Strong","SplitGAL4annotate/Image/Untitled_237.jpgSplitGAL4annotate/Image/Untitled_237.jpg"
"L1810","GMR_94F11_AV_01-20150313_46_B1","11E08","94F11","52","3","Yes","Yes","Yes_TI_wk6","","Yes","Needimage","SplitGAL4annotate/Image/Untitled_239.jpgSplitGAL4annotate/Image/Untitled_239.jpg"
"","","","","(16C)","","","","","","","",""
"L568","GMR_94F11_AV_01-20150313_46_B4","24C08","94F11","54A","2","Yes","Maybe","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Needimage","SplitGAL4annotate/Image/Untitled_241.jpgSplitGAL4annotate/Image/Untitled_241.jpg"
"","","","","1H","","","","","","","",""
"L283","GMR_44D05_XD_01-20150313_46_C1","54G12","44D05","NotPaper","1","Yes","20X Paavo 2015","Yes_TI-wk26","Yes-TI_flycore_18Apr-30May16","Yes","None","SplitGAL4annotate/Image/Untitled_243.jpgSplitGAL4annotate/Image/Untitled_243.jpg"
"","","","","","","","","","","","",""
"L1328","GMR_53C02_AV_01-20150313_46_C4","48E02","53C02","138","1","Yes","Yes","Yes_TI-wk21","Yes-TI_wk15-16 (flycore)","Yes","Medium","SplitGAL4annotate/Image/Untitled_245.jpgSplitGAL4annotate/Image/Untitled_245.jpg"
"L1313","GMR_53B06_AV_01-20150313_46_C5","76E07","53B06","17C","1","Yes","No","Yes_TI_wk6","","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_247.jpgSplitGAL4annotate/Image/Untitled_247.jpg"
"L1479","GMR_65C07_AV_01-20150313_46_D3","84F07","65C07","1H","1","Yes","20X Paavo 2015","Yes_TI-wk27","Case4_Wk6","Yes","Weak","SplitGAL4annotate/Image/Untitled_249.jpgSplitGAL4annotate/Image/Untitled_249.jpg"
"L574","GMR_94F11_AV_01-20150313_46_A4","54G12","94F11","NotPaper","2","Yes","20X Paavo 2015","","","Yes","Needimage","SplitGAL4annotate/Image/Untitled_251.jpgSplitGAL4annotate/Image/Untitled_251.jpg"
"","","","","","","","","","","","",""
"L1350","GMR_53D01_AV_01-20150313_46_E2","49G06","53D01","3F","1","Yes","No","Yes_TI_wk9","Yes-TI_wk15-16 (flycore)","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_253.jpgSplitGAL4annotate/Image/Untitled_253.jpg"
"L1337","GMR_53C10_AV_01-20150313_46_F1","41H07","53C10","70B","1","Yes","Yes","Yes_TI_wk6","Yes-TI_wk4","Yes","Weak","SplitGAL4annotate/Image/Untitled_255.jpgSplitGAL4annotate/Image/Untitled_255.jpg"
"L954","GMR_34E07_AV_01-20150306_41_A1","76C08","34E07","4A","1","Yes","No","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Medium","SplitGAL4annotate/Image/Untitled_257.jpgSplitGAL4annotate/Image/Untitled_257.jpg"
"L1481","GMR_65C07_AV_01-20150313_46_F4","11B07","65C07","8A","1","Yes","20X Paavo 2015","","","Yes","Medium","SplitGAL4annotate/Image/Untitled_259.jpgSplitGAL4annotate/Image/Untitled_259.jpg"
"L290","GMR_45F12_AV_01-20150313_46_G2","38D01","45F12","3A","1","Yes","Yes","Yes_TI_wk6","","Yes","Weak","SplitGAL4annotate/Image/Untitled_261.jpgSplitGAL4annotate/Image/Untitled_261.jpg"
"L885","GMR_30A10_AV_01-20150313_46_G3","22A12","30A10","116A","2","Yes","","","","No","Needimage","SplitGAL4annotate/Image/Untitled_263.jpgSplitGAL4annotate/Image/Untitled_263.jpg"
"","","","","4A","","","","","","","",""
"L1422","GMR_59C09_AV_01-20150313_46_G6","85A07","59C09","70A","1","Yes","20X_PaavoMike_July_2016","","Case4_Wk5","Yes","None","SplitGAL4annotate/Image/Untitled_265.jpgSplitGAL4annotate/Image/Untitled_265.jpg"
"L1358","GMR_53D01_AV_01-20150313_46_H1","76E07","53D01","17C","1","Yes","Yes","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Needimage","SplitGAL4annotate/Image/Untitled_267.jpgSplitGAL4annotate/Image/Untitled_267.jpg"
"L989","GMR_37G11_AV_01-20150306_41_B1","29G05","37G11","11A","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk12","Yes-rd2","Yes","Weak","SplitGAL4annotate/Image/Untitled_269.jpgSplitGAL4annotate/Image/Untitled_269.jpg"
"L983","GMR_37E08_AV_01-20150306_41_C6","20G10","37E08","70C","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk6","","Yes","Weak","SplitGAL4annotate/Image/Untitled_271.jpgSplitGAL4annotate/Image/Untitled_271.jpg"
"L991","GMR_37G11_AV_01-20150306_41_D6","73B12","37G11","11A","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk12","Yes-TI_wk4","Yes","Medium","SplitGAL4annotate/Image/Untitled_273.jpgSplitGAL4annotate/Image/Untitled_273.jpg"
"L939","GMR_33E02_AV_01-20150306_41_E1","11E08","33E02","3B","1","Yes","No","","","No","Medium","SplitGAL4annotate/Image/Untitled_275.jpgSplitGAL4annotate/Image/Untitled_275.jpg"
"L1045","GMR_41G09_AV_01-20150306_41_E6","54G12","41G09","1A","43","Yes","No","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Strong","SplitGAL4annotate/Image/Untitled_277.jpgSplitGAL4annotate/Image/Untitled_277.jpg"
"","","","","1H","","","","","","","",""
"","","","","(138)","","","","","","","",""
"","","","","1B1","","","","","","","",""
"L1501","GMR_65G08_AV_01-20150306_41_F2","11E08","65G08","(138)","1","No","No","","","No","Medium","SplitGAL4annotate/Image/Untitled_279.jpgSplitGAL4annotate/Image/Untitled_279.jpg"
"L247","GMR_34G01_XD_01-20150403_42_A1","82F03","34G01","1B1","1","Yes","No","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Strong","SplitGAL4annotate/Image/Untitled_281.jpgSplitGAL4annotate/Image/Untitled_281.jpg"
"L545","GMR_93F07_AV_01-20150403_42_A3","22A12","93F07","NotPaper","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk6","Yes-TI_wk4","Yes","None","SplitGAL4annotate/Image/Untitled_283.jpgSplitGAL4annotate/Image/Untitled_283.jpg"
"L542","GMR_86A05_AV_01-20150403_42_A4","42D01","86A05","4A","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk24","Yes_TI_wk26","Yes","None","SplitGAL4annotate/Image/Untitled_285.jpgSplitGAL4annotate/Image/Untitled_285.jpg"
"L481","GMR_65H10_AV_01-20150403_42_B2","14E05","65H10","8A","1","Yes","Maybe","","Yes_TI_wk26","Yes","Medium","SplitGAL4annotate/Image/Untitled_287.jpgSplitGAL4annotate/Image/Untitled_287.jpg"
"L788","GMR_22C12_AV_01-20150306_41_E5","34C08","22C12","1D","1","Yes","Maybe","Yes_TI-wk27","Yes_TI_wk23","Yes","Strong","SplitGAL4annotate/Image/Untitled_289.jpgSplitGAL4annotate/Image/Untitled_289.jpg"
"L494","GMR_66B12_AV_01-20150403_43_B4","65D05","66B12","NotPaper","2","Yes","20X_PaavoMike_July_2016","Yes_TI-wk25","Yes-TI_wk15-16 (flycore)","Yes","None","SplitGAL4annotate/Image/Untitled_291.jpgSplitGAL4annotate/Image/Untitled_291.jpg"
"","","","","","","","","","","","",""
"L327","GMR_47B03_AV_01-20150410_41_A1","82F03","47B03","NotPaper","1","Yes","Yes","","","No","Weak","SplitGAL4annotate/Image/Untitled_293.jpgSplitGAL4annotate/Image/Untitled_293.jpg"
"","","","","","","","","","","","",""
"L459","GMR_59F02_AV_01-20150403_43_A5","14B11","59F02","7A","1","Yes","Yes","Yes_TI_wk7","Yes-TI_wk15-16 (flycore)","No","Weak","SplitGAL4annotate/Image/Untitled_295.jpgSplitGAL4annotate/Image/Untitled_295.jpg"
"L1478","GMR_65C07_AV_01-20150410_41_A5","64E06","65C07","141","1","Yes","Maybe","","Yes_TI_wk26","Yes","Medium","SplitGAL4annotate/Image/Untitled_297.jpgSplitGAL4annotate/Image/Untitled_297.jpg"
"L1197","GMR_48D05_AV_01-20150410_41_B1","30F11","48D05","4I","1","Yes","Maybe","Yes_TI-wk28","Yes-TI_wk8","Yes","Medium","SplitGAL4annotate/Image/Untitled_299.jpgSplitGAL4annotate/Image/Untitled_299.jpg"
"L787","GMR_22B12_AV_01-20150410_41_B2","34C08","22B12","1A","1","Yes","No","Yes_TI_wk10","","No","Strong","SplitGAL4annotate/Image/Untitled_301.jpgSplitGAL4annotate/Image/Untitled_301.jpg"
"L117","GMR_20A03_AV_01-20150410_41_C1","82F03","20A03","1B1","1","Yes","No","Yes_TI_wk7","Yes-TI_wk5","Yes","Medium","SplitGAL4annotate/Image/Untitled_303.jpgSplitGAL4annotate/Image/Untitled_303.jpg"
"L795","GMR_25B07_AV_01-20150410_41_B3","11E08","25B07","3B","1","Yes","No","Yes_TI_wk7","","Yes","None","SplitGAL4annotate/Image/Untitled_305.jpgSplitGAL4annotate/Image/Untitled_305.jpg"
"L849","GMR_28A10_XD_01-20150410_41_B4","11E08","28A10","3F","1","Yes","Maybe","Yes_TI_wk7","Yes-rd2","Yes","Medium","SplitGAL4annotate/Image/Untitled_307.jpgSplitGAL4annotate/Image/Untitled_307.jpg"
"MB036B","GMR_MB036B-20130115_31_A1","38D01","77F05","3C","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk7","Yes-TI_wk8","Yes","Weak","SplitGAL4annotate/Image/Untitled_309.jpgSplitGAL4annotate/Image/Untitled_309.jpg"
"RD_1","RD_1-20130212_32_A1","","","123","1","Yes","Maybe","Yes_TI_wk10","","Yes","Weak","SplitGAL4annotate/Image/Untitled_311.jpgSplitGAL4annotate/Image/Untitled_311.jpg"
"L235","GMR_34E07_AV_01-20150410_41_B5","86A05","34E07","4A","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk10","Case4_Wk1","Yes","None","SplitGAL4annotate/Image/Untitled_313.jpgSplitGAL4annotate/Image/Untitled_313.jpg"
"L68","GMR_14B11_XD_01-20150410_41_F1","47B03","14B11","29C","1","Yes","Maybe","","Yes_TI_wk27","Yes","None","SplitGAL4annotate/Image/Untitled_315.jpgSplitGAL4annotate/Image/Untitled_315.jpg"
"L196","GMR_31B01_AV_01-20150410_41_B6","79C09","31B01","116A","1","Yes","","Yes_TI_wk7","Yes-TI_wk5","Yes","Medium","SplitGAL4annotate/Image/Untitled_317.jpgSplitGAL4annotate/Image/Untitled_317.jpg"
"L458","GMR_59F02_AV_01-20150410_41_D1","13C04","59F02","8A","1","Yes","Yes","","Yes_TI_wk27","Yes","None","SplitGAL4annotate/Image/Untitled_319.jpgSplitGAL4annotate/Image/Untitled_319.jpg"
"L436","GMR_55C05_AV_01-20150410_41_D2","79C09","55C05","116B","1","Yes","No","","","No","Strong","SplitGAL4annotate/Image/Untitled_321.jpgSplitGAL4annotate/Image/Untitled_321.jpg"
"L1506","GMR_65H10_AV_01-20150410_41_E3","41H07","65H10","70A","2","Yes","Maybe","","","Yes","Medium","SplitGAL4annotate/Image/Untitled_323.jpgSplitGAL4annotate/Image/Untitled_323.jpg"
"L1475","GMR_65C07_AV_01-20150410_41_E5","86A05","65C07","4A","1","Yes","20X Paavo 2015","Yes_TI-wk24","Case4_Wk1","Yes","None","SplitGAL4annotate/Image/Untitled_325.jpgSplitGAL4annotate/Image/Untitled_325.jpg"
"L1467","GMR_65C07_AV_01-20150410_41_E6","65C07","76C08","4A","1","Yes","Yes","Yes_TI_wk4","Yes-TI_wk5","No","Medium","SplitGAL4annotate/Image/Untitled_327.jpgSplitGAL4annotate/Image/Untitled_327.jpg"
"","","","","(141)","","","","","","","",""
"L572","GMR_94F11_AV_01-20150313_45_A3","38D01","94F11","1H","1","Yes","No","","","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_329.jpgSplitGAL4annotate/Image/Untitled_329.jpg"
"L1196","GMR_48D05_AV_01-20150313_45_A6","10G01","48D05","4A","1","Yes","No","Yes_TI_wk7","Yes-TI_wk5","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_331.jpgSplitGAL4annotate/Image/Untitled_331.jpg"
"L1520","GMR_66A06_AV_01-20150313_45_B3","49H05","66A06","70A","1","Yes","Maybe","","Yes_TI_wk27","Yes","Needimage","SplitGAL4annotate/Image/Untitled_333.jpgSplitGAL4annotate/Image/Untitled_333.jpg"
"L1111","GMR_41H07_AV_01-20150313_45_C6","20G10","41H07","70C","1","Yes","20X_PaavoMike_July_2016","","","Yes","None","SplitGAL4annotate/Image/Untitled_335.jpgSplitGAL4annotate/Image/Untitled_335.jpg"
"L984","GMR_37E08_AV_01-20150313_45_D4","41H07","37E08","70C","1","Yes","Yes","Yes_TI_wk7","Yes-rd2","No","Needimage","SplitGAL4annotate/Image/Untitled_337.jpgSplitGAL4annotate/Image/Untitled_337.jpg"
"L907","GMR_30A10_AV_01-20150313_45_E3","53A03","30A10","NotPaper","1","Yes","No","Yes_TI_wk7","Yes_TI_wk31","Yes","None","SplitGAL4annotate/Image/Untitled_339.jpgSplitGAL4annotate/Image/Untitled_339.jpg"
"L1046","GMR_41G09_AV_01-20150508_43_E4","82F03","41G09","1B1","1","Yes","No","Yes_TI_wk4","Yes-TI_wk5","Yes","Medium","SplitGAL4annotate/Image/Untitled_341.jpgSplitGAL4annotate/Image/Untitled_341.jpg"
"L123","GMR_20G01_AV_01-20150508_43_C3","16C09","20G01","3D","1","Yes","20X Shiuan-Tze 2015","","Yes-TI_wk1","Yes","Weak","SplitGAL4annotate/Image/Untitled_343.jpgSplitGAL4annotate/Image/Untitled_343.jpg"
"L771","GMR_20G10_AV_01-20150508_43_C5","41H07","20G10","70C","1","Yes","Maybe","","Yes-TI_wk1","Yes","Medium","SplitGAL4annotate/Image/Untitled_345.jpgSplitGAL4annotate/Image/Untitled_345.jpg"
"L124","GMR_20G01_AV_01-20150508_43_C4","54G12","20G01","1D","1","Yes","No","Yes_TI-wk28","Yes-TI_wk5","Yes","Weak","SplitGAL4annotate/Image/Untitled_347.jpgSplitGAL4annotate/Image/Untitled_347.jpg"
"L1040","GMR_41G09_AV_01-20150508_43_D5","22B12","41G09","138","1","Yes","No","","","Yes","None","SplitGAL4annotate/Image/Untitled_349.jpgSplitGAL4annotate/Image/Untitled_349.jpg"
"L803","GMR_25B07_AV_01-20150508_43_D1","84A06","25B07","3B","1","Yes","No","Yes_TI_wk8","Yes-TI_wk6","Yes","Weak","SplitGAL4annotate/Image/Untitled_351.jpgSplitGAL4annotate/Image/Untitled_351.jpg"
"L1107","GMR_41H07_AV_01-20150508_43_E3","49H05","41H07","70A","1","Yes","Maybe","","","Yes","Medium","SplitGAL4annotate/Image/Untitled_353.jpgSplitGAL4annotate/Image/Untitled_353.jpg"
"L1594","GMR_76G09_AV_01-20150515_41_A3","43D01","76G09","101","2","No","No","Yes_TI-wk26","Case4_Wk2","Yes","None","SplitGAL4annotate/Image/Untitled_355.jpgSplitGAL4annotate/Image/Untitled_355.jpg"
"L1574","GMR_76G09_AV_01-20150515_41_A4","20G01","76G09","1D","1","Yes","No","Yes_TI-wk27","Yes_TI_wk31","Yes","Weak","SplitGAL4annotate/Image/Untitled_357.jpgSplitGAL4annotate/Image/Untitled_357.jpg"
"L412","GMR_54G12_AV_01-20150515_41_B6","22B12","54G12","1A","1","Yes","20X Paavo 2015","Yes_TI_wk8","Yes-TI_wk6","Yes","Medium","SplitGAL4annotate/Image/Untitled_359.jpgSplitGAL4annotate/Image/Untitled_359.jpg"
"L1297","GMR_52H12_AV_01-20150515_41_C6","34C08","52H12","12A","1","Yes","No","Yes_TI_wk8","Yes-TI_wk6","No","Medium","SplitGAL4annotate/Image/Untitled_361.jpgSplitGAL4annotate/Image/Untitled_361.jpg"
"L1302","GMR_52H12_AV_01-20150515_41_D3","20C12","52H12","12A","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk8","Yes-TI_wk1","In Progress (flycore)","Medium","SplitGAL4annotate/Image/Untitled_363.jpgSplitGAL4annotate/Image/Untitled_363.jpg"
"L1296","GMR_52H12_AV_01-20150515_41_D1","28A10","52H12","12A","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk8","Yes-TI_wk6","Yes","Weak","SplitGAL4annotate/Image/Untitled_365.jpgSplitGAL4annotate/Image/Untitled_365.jpg"
"L126","GMR_20G01_AV_01-20150522_44_A5","84F07","20G01","120","1","Yes","Maybe","","Yes_TI_wk30","Yes","Medium","SplitGAL4annotate/Image/Untitled_367.jpgSplitGAL4annotate/Image/Untitled_367.jpg"
"L1295","GMR_52H12_AV_01-20150515_41_D2","25B07","52H12","3B","1","Yes","Maybe","Yes_TI_wk8","Yes-TI_wk6","Yes","None","SplitGAL4annotate/Image/Untitled_369.jpgSplitGAL4annotate/Image/Untitled_369.jpg"
"L1667","GMR_85A07_AV_01-20150522_44_A3","59C09","85A07","70A","1","Yes","Yes","Yes_TI_wk10","Yes-TI_wk1","Yes","Medium","SplitGAL4annotate/Image/Untitled_371.jpgSplitGAL4annotate/Image/Untitled_371.jpg"
"L1735","GMR_86A05_AV_01-20150522_44_A4","76C08","86A05","4A","1","Yes","20X Paavo 2015","Yes_TI-wk24","Case4_Wk1","Yes","None","SplitGAL4annotate/Image/Untitled_373.jpgSplitGAL4annotate/Image/Untitled_373.jpg"
"L1129","GMR_44G08_AV_01-20150515_41_E6","14B11","44G08","7A","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk21","Yes_TI_wk23","Yes","None","SplitGAL4annotate/Image/Untitled_375.jpgSplitGAL4annotate/Image/Untitled_375.jpg"
"L1284","GMR_52H12_AV_01-20150522_44_B3","38F08","52H12","8A","1","Yes","20X Paavo 2015","Yes_TI_wk10","Yes-TI_wk1","Yes","Medium","SplitGAL4annotate/Image/Untitled_377.jpgSplitGAL4annotate/Image/Untitled_377.jpg"
"L1385","GMR_54G12_AV_01-20150522_44_B2","76C08","54G12","NotPaper","2","Yes","No","Yes_TI-wk24","Yes-TI_wk13","Yes","Medium","SplitGAL4annotate/Image/Untitled_379.jpgSplitGAL4annotate/Image/Untitled_379.jpg"
"","","","","(1H)","","","","","","","",""
"L1293","GMR_52H12_AV_01-20150515_41_D4","16C09","52H12","12A","1","Yes","20X Shiuan-Tze 2015","Yes_TI-wk24","Yes-TI_flycore_18Apr-30May16","Yes","None","SplitGAL4annotate/Image/Untitled_381.jpgSplitGAL4annotate/Image/Untitled_381.jpg"
"L489","JRC_SS03792-20150227_41_C2","50H07","66A08","144","1","Yes","No","Yes_TI_wk16","Case4_Wk2","Yes","Medium","SplitGAL4annotate/Image/Untitled_383.jpgSplitGAL4annotate/Image/Untitled_383.jpg"
"L727","JRC_SS03794-20150227_41_D5","76C08","18B11","17C","1","Yes","No","Yes_TI_wk8","","Yes","Strong","SplitGAL4annotate/Image/Untitled_385.jpgSplitGAL4annotate/Image/Untitled_385.jpg"
"L509","JRC_SS03783-20150227_41_F2","13C04","79C09","114A","1","Yes","20X Paavo 2015","","Yes-TI_wk6","Yes","Medium","SplitGAL4annotate/Image/Untitled_387.jpgSplitGAL4annotate/Image/Untitled_387.jpg"
"L1117","GMR_41H09_AV_01-20150313_46_C2","48E02","41H09","NotPaper","2","No","No","Yes_TI_wk16","","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_389.jpgSplitGAL4annotate/Image/Untitled_389.jpg"
"","","","","","","","","","","","",""
"L1473","GMR_65C07_AV_01-20150313_46_D6","42D01","65C07","4A","1","Yes","No","Yes_TI_wk4","Yes-TI_flycore_18Apr-30May16","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_391.jpgSplitGAL4annotate/Image/Untitled_391.jpg"
"L979","GMR_37A11_AV_01-20150306_41_B4","84F07","37A11","29D","1","Yes","No","Yes_TI-wk27","Yes-TI_wk1","Yes","Medium","SplitGAL4annotate/Image/Untitled_393.jpgSplitGAL4annotate/Image/Untitled_393.jpg"
"L807","GMR_25B10_AV_01-20150306_41_C5","25B07","25B10","12C","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk4","Yes-TI_wk6","Yes","None","SplitGAL4annotate/Image/Untitled_395.jpgSplitGAL4annotate/Image/Untitled_395.jpg"
"","","","","","","","","","","","",""
"L1397","GMR_58F03_AV_01-20150306_41_D4","11E08","58F03","29G","1","Yes","No","Yes_TI_wk4","Yes_TI_wk21","Yes","Medium","SplitGAL4annotate/Image/Untitled_397.jpgSplitGAL4annotate/Image/Untitled_397.jpg"
"L808","GMR_25B10_AV_01-20150306_41_A6","84A06","25B10","12C","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk4","Yes_TI_wk30","Yes","None","SplitGAL4annotate/Image/Untitled_399.jpgSplitGAL4annotate/Image/Untitled_399.jpg"
"L294","GMR_46A08_AV_01-20150403_43_A1","25B07","46A08","3B","1","Yes","Maybe","","Yes_TI_wk30","Yes","None","SplitGAL4annotate/Image/Untitled_401.jpgSplitGAL4annotate/Image/Untitled_401.jpg"
"L495","GMR_67F03_AV_01-20150403_42_B3","10G01","67F03","113","1","Yes","No","","","No","Strong","SplitGAL4annotate/Image/Untitled_403.jpgSplitGAL4annotate/Image/Untitled_403.jpg"
"L455","GMR_59F02_AV_01-20150403_43_B1","46E11","59F02","7A","2","Yes","20X Shiuan-Tze 2015","Yes_TI_wk12","","Yes","Weak","SplitGAL4annotate/Image/Untitled_405.jpgSplitGAL4annotate/Image/Untitled_405.jpg"
"","","","","8A","","","","","","","",""
"L87","GMR_17B08_AV_01-20150327_43_A6","16C09","17B08","12A","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk10","","Yes","None","SplitGAL4annotate/Image/Untitled_407.jpgSplitGAL4annotate/Image/Untitled_407.jpg"
"L191","GMR_30H02_AV_01-20150327_43_B6","84F07","30H02","1G","1","Yes","Maybe","Yes_TI-wk27","Yes-TI_flycore_18Apr-30May16","Yes","Weak","SplitGAL4annotate/Image/Untitled_409.jpgSplitGAL4annotate/Image/Untitled_409.jpg"
"L438","GMR_55C09_AV_01-20150410_41_A2","65D05","55C09","NotPaper","2","Yes","Maybe","Yes_TI-wk25","","Yes","Medium","SplitGAL4annotate/Image/Untitled_411.jpgSplitGAL4annotate/Image/Untitled_411.jpg"
"","","","","","","","","","","","",""
"L1488","GMR_65C07_AV_01-20150410_41_F6","65H10","65C07","141","1","Yes","No","","","Yes","Medium","SplitGAL4annotate/Image/Untitled_413.jpgSplitGAL4annotate/Image/Untitled_413.jpg"
"L102","GMR_19A04_AV_01-20150410_41_C2","47B03","19A04","29B","2","Yes","20X Shiuan-Tze 2015","Yes_TI_wk8","Yes-TI_flycore_18Apr-30May16","Yes","None","SplitGAL4annotate/Image/Untitled_415.jpgSplitGAL4annotate/Image/Untitled_415.jpg"
"","","","","(29C)","","","","","","","",""
"L1247","GMR_94F11_AV_01-20150313_45_A1","41H07","48G01","114B","1","Yes","No","Yes_TI-wk26","Yes_TI_wk32","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_417.jpgSplitGAL4annotate/Image/Untitled_417.jpg"
"L504","GMR_72G12_AV_01-20150515_41_A6","79C09","72G12","116B","1","No","No","","","Yes","Medium","SplitGAL4annotate/Image/Untitled_419.jpgSplitGAL4annotate/Image/Untitled_419.jpg"
"L421","GMR_54G12_AV_01-20150515_41_B4","38D01","54G12","1B2","1","Yes","20X Paavo 2015","Yes_TI_wk9","Yes-TI_flycore_18Apr-30May16","Yes","None","SplitGAL4annotate/Image/Untitled_421.jpgSplitGAL4annotate/Image/Untitled_421.jpg"
"L563","JRC_IS04013-20150904_52_G3","16C09","94F11","138","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk16","Yes-TI_wk15-16 (flycore)","Yes","None","SplitGAL4annotate/Image/Untitled_423.jpg"
"L549","JRC_IS04018-20151016_52_A5","20A03","94D12","16A","1","Yes","","Yes_TI-wk19","Yes-TI_wk13","In Progress (flycore)","Weak","SplitGAL4annotate/Image/Untitled_424.jpg"
"L426","JRC_IS04037-20150904_52_F2","82F03","54G12","(1B)","2","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_425.jpg"
"","","","","","","","","","","","",""
"L178","JRC_IS04038-20150904_52_C2","89A01","28A10","12A","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk22","Yes_TI_wk30","Yes","Weak","SplitGAL4annotate/Image/Untitled_426.jpg"
