,'D','DA1','DA2','DA3','DA4l','DC1','DC2','DC3','DL1','DL3','DL4','DL5','DM1','DM2','DM3','DM4','DM5','DM6','DP1m','VA1d','VA1v','VA2','VA3','VA4','VA5','VA6','VA7l','VA7m','VC1','VC2','VL1','VL2a','VL2p','VM1','VM2','VM3','VM4','VM7d','VM7v'
'JJ107',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.244983651,0,2.143230013,0,0,2.278397591,0,0,0,0,0,0,0,0,0,0,0,0
'JJ111',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.665293451,0,0,0,0,3.009473572,0,0,0,0,0,0,0,0,0,0,0,0
'JJ110',0,0,0,0,0,0,0,0,0,0,0,1.496399731,0,0,0,0,0,0,0,0,0,2.6025239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ108',0,0,0,0,0,0,0,0,0,0,0,2.59157501,0,0,0,0,0,0,0,0,0,2.931995914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ56',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083062297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ118',0,0,0,0,0,0,0,0,0,0,0,1.593575205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ62',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.015166164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ99',0,0,0,0,0,0,2.403583215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.531196821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ81',0,0,0,0,0,0,0,0,0,0,0,0,0,2.299753187,0,0,0,0,0,0,-1.479383797,0,0,0,0,0,0,0,0,2.195053576,0,0,0,0,0,0,0,0,0
'JJ98',5.339253463,0,0,0,0,3.764336767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.380324686,0,0,0,0,0,0,0,0,3.308415397,0,3.41788389,0,0,0,0,0
'JJ137',0,0,0,0,0,0,1.958048644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.898241729,3.551050591,0,0,0,0,0,0,0,0,0,0,2.277835568,0,0,0,0,0
'JJ100',2.773257352,0,0,0,0,2.440580868,2.425897813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.476411785,6.456639202,0,0,0,0,0,2.372241265,0,0,0,0,2.237718537,0,2.088288331,0,0,0
