"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","is.lhn","connectivity.type","layer","ct.layer","User"
573328325,"LH037a","ADL15","ADL15e","ADL15e_pct","FALSE","LHN","LHAD1c3","LHl2_medial","DPLal2_medial","4181288","medium","Gad1-F-700076","good",FALSE,FALSE,"LHAD1",TRUE,"LHAD1c3",2.97149122807018,3,""
574706585,"LH037a","ADL15","ADL15e","ADL15e_pct","FALSE","LHN","LHAD1c3","LHl2_medial","DPLal2_medial","7092087","medium","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1c3",3.32157394843962,3,""
605046401,"LH037a","ADL15","ADL15e","ADL15e_pct","FALSE","LHN","LHAD1c3","LHl2_medial","DPLal2_medial","none","none","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1c3",2.90899122807018,3,""
605732731,"LH037a","ADL15","ADL15e","ADL15e_pct","FALSE","LHN","LHAD1c3","LHl2_medial","DPLal2_medial","5030032","medium","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1c3",3.32735426008969,3,""
511617404,"LH038a","ADL15","ADL15j","ADL15m_pct","FALSE","LHN","LHAD1d1","LHl2_medial","DPLal2_medial","2402951","medium","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1d1",2.97699890470975,2,""
574688277,"LH038a","ADL15","ADL15j","ADL15m_pct","FALSE","LHN","LHAD1d1","LHl2_medial","DPLal2_medial","2402951","medium","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1d1",2.83390607101947,2,""
638472166,"LH038a","ADL15","ADL15j","ADL15m_pct","FALSE","LHN","LHAD1d1","LHl2_medial","DPLal2_medial","11556378","poor","L2446#2","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1d1",3.08305274971942,2,""
5813035242,"LH038a","ADL15","ADL15j","ADL15m_pct","FALSE","LHN","LHAD1d1","LHl2_medial","DPLal2_medial","1811499","medium","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1d1",2.8157602663707,2,"AJ"
575384259,"LH039a","ADL15","ADL15h","ADL15n_pct","FALSE","LHN","LHAD1b5","LHl2_medial","DPLal2_medial","3080225","medium","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1b5",2.82131324004306,3,""
638136814,"LH039a","ADL15","ADL15h","ADL15n_pct","FALSE","LHN","LHAD1b5","LHl2_medial","DPLal2_medial","3729932","medium","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1b5",3.26704545454545,3,""
451995734,"LH040a","ADL15","ADL15i","ADL15g_e_pct","FALSE","LHN","LHAD1b1","LHl2_medial","DPLal2_medial","5031366","good","L2278#2","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b1a",3.61862527716186,3,""
611352588,"LH040a","ADL15","ADL15i","ADL15g_e_pct","FALSE","LHN","LHAD1b1","LHl2_medial","DPLal2_medial","3075158","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b1a",3.59095801937567,3,""
425471220,"LH040b","ADL15","ADL15i","ADL15g_f_pct","FALSE","LHN","LHAD1b1","LHl2_medial","DPLal2_medial","5031366","medium","L1539#1","medium",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b1b",3.32912844036697,3,""
452336897,"LH040b","ADL15","ADL15i","ADL15g_f_pct","FALSE","LHN","LHAD1b1","LHl2_medial","DPLal2_medial","6852364","medium","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b1b",4.07469342251951,3,""
512765816,"LH040b","ADL15","ADL15i","ADL15g_f_pct","FALSE","LHN","LHAD1b1","LHl2_medial","DPLal2_medial","2842610","medium","120726c3","medium",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b1b",3.712,3,""
543321179,"LH040c","ADL15","ADL15i","ADL15h_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","5030649","good","L2278#3","medium",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2a",3.34463894967177,3,""
573683438,"LH040c","ADL15","ADL15i","ADL15h_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","4744251","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2a",2.88589881593111,3,""
574040939,"LH040c","ADL15","ADL15i","ADL15h_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","4744251","medium","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2a",3.36885245901639,3,""
