"","skid","catmaid_name","ItoLee_Lineage","ItoLee_Hemilineage","Hartenstein_Lineage","Hartenstein_Hemilineage","type","primary_neurite","anatomy_group","cell_type","cell","hemibrain_match","Frechter_et_al","closest_light_match","LM_match_quality","status","transmitter","other_names","citation","all_citations","new.cell.type","new.match","is.lhn"
"57","1705052","AV4j1 LH -> SLP 1705053 RJVR FML Foil","SLPav1","SLPav1_lateral","BLAl","BLAl_lateral","ON","AV4","AV4j","X","AV4j1#1","5813009781","new","new:AV4j1","cell.type","rough","unknown","none","Huoviala et al. 2020","Huoviala et al. 2020","LHAV3e3","5813009781",TRUE
"58","3587600","Terribly Lost 3587601 ASB","VPNl&d1","VPNl&d1_dorsal","BLAvm2","BLAvm2_dorsal","ON","AV5","AV5a","AV5a1","AV5a1#1","391625677","old","L1594#1","cell.type","preliminary","acetylcholine","none","Dolan et al. 2019","Dolan et al. 2019","LHAV5a1","391625677",TRUE
"59","1492649","AV5h1 [LH.R] neuron 1492650 fused","SLPav2","SLPav2_dorsal","BLD2","BLD2_dorsal","ON","AV5","AV5h","AV5h1","AV5h1#1","480276374","new","new:AV5h1","cell.type","rough","unknown","none","Huoviala et al. 2020","Huoviala et al. 2020","LHAV5e1","480276374",TRUE
"60","1415926","AV6a1#1 1415927 Haddock ASB","LHa1","LHa1_medial","BLAd1","BLAd1_medial","ON","AV6","AV6a","AV6a1","AV6a1#1","574011220","old","130725c4","cell.type","complete","acetylcholine","L11; Type II","Dolan et al. 2019","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Fisek et al. 2014","LHAV6a1","574011220",TRUE
"61","1298816","AV6a2#1 1298817 Peacock Bass ASB","LHa1","LHa1_medial","BLAd1","BLAd1_medial","ON","AV6","AV5a","AV6a3","AV6a3#1","421957711","new","new:AV6a3","cell.type","complete","unknown","none","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020","LHAV6a3","423330124",TRUE
"62","4902612","AV6b1 neuron 4902613 Salamander ASB","LHa1","LHa1_medial","BLAd1","BLAd1_medial","ON","AV6","AV6b","AV6b1","AV6b1#1","452677169","old","L452#4","cell.type","preliminary","unknown","none","Dolan et al. 2019","Dolan et al. 2019","LHAV6b1","452677169",TRUE
"63","6772893","putative 125 6772894 Alexander Robert Paul Harrison SD","SIPa1","SIPa1_ventral","BLAd2","BLAd2_ventral","ON","AV6","AV6c","AV6c1","AV6c1#1","577205852","old","L2382#1","cell.type","preliminary","glutamate","none","Dolan et al. 2019","Dolan et al. 2019","LHAV6k1","607212413",TRUE
"64","4176088","AV7a1#1 4176089 Osprey ASB","AOTUv2","AOTUv2","DALl1","DALl1","ON","AV7","AV7a","AV7a1","AV7a1#1","580231908","old","L2001#1","cell.type","preliminary","acetylcholine","none","Dolan et al. 2019","Dolan et al. 2019","LHAV7a1","580231908",TRUE
"65","57110","Putative peptidergic neuron 57111 SM ND Beluga","Primary?","Primary?","Primary?","Primary?","ON","AV7","AV7d","AV7d1","AV7d1#1","636789034","new","new:AV7d1","cell.type","preliminary","unknown","none","Marin et al. 2020","Marin et al. 2020","LHAV8a1","636789034",TRUE
"66","8927505","PV2 AVLP.R -> SLP.R 8927506 RJVR Bateleur","VPNp&v1","VPNp&v1_posterior","BLP1","BLP1_posterior","IN","PV2","AVLP-PN","AVLP-PN1","AVLP-PN1#1","973436416","old","Trh-M-500183","cell.type","preliminary","acetylcholine","none","Dolan et al. 2019","Dolan et al. 2019","uncertain","973436416",NA
"67","181551","SP.R->(LH.R,CA.R)181552 Vieille Priere Bouddhique EW ASB RJVR","Primary","Primary","Primary","Primary","CENT","PV1","Centrifugal","CENT8","CENT8#1","511271574","new","new:CENT8","cell.type","rough","unknown","none","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020","LHCENT8","511271574",TRUE
"68","554327","SP.R->(LH.R,CA.R) 554328 IJA Vieille Priere Bouddhique","Primary","Primary","Primary","Primary","CENT","PV1","Centrifugal","CENT8","CENT8#2","360284300","new","new:CENT8","cell.type","rough","unknown","none","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020","LHCENT8","360284300",TRUE
"69","11519897","Neuron 11519898 Capaldi RJVR","Primary","Primary","Primary","Primary","CENT","WEDT","Centrifugal","CENT5","CENT5","579912201","new","new:CENT5","cell.type","rough","unknown","none","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020","LHCENT5","579912201",TRUE
"70","1288606","LH.R-> 1288607 Opportunity ASB","Primary","Primary","Primary","Primary","CENT","AV4","Centrifugal","CENT6","CENT6","5813068669","new","new:CENT6","cell.type","rough","unknown","none","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020","LHCENT6","5813068669",TRUE
"71","563760","SP.R->(LH.R,CA.R) 563761 Mighty Little RJVR GSXEJ ASB ","Primary","Primary","Primary","Primary","CENT","AV4","Centrifugal","CENT4","CENT4","517506265","new","new:CENT4","cell.type","rough","unknown","none","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020","LHCENT4","517506265",TRUE
"72","11519759","LH.R-> 1298804 Fen Tiger CH ASB","Primary","Primary","Primary","Primary","CENT","AV4","Centrifugal","CENT9","CENT9","330268940","new","new:CENT9","cell.type","rough","unknown","none","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020","LHCENT9","330268940",TRUE
"73","3394015","SP.R->(LH.R,CA.R) 1196496 Explorer ASB","Primary","Primary","Primary","Primary","CENT","AV4","Centrifugal","CENT1","CENT1","328861282","new","new:CENT1","cell.type","rough","unknown","none","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020","LHCENT1","328861282",TRUE
"74","11543484","putative LHON 466766 Safety Pin CMM","Primary","Primary","Primary","Primary","CENT","AV4","Centrifugal","CENT3","CENT3","487144598","new","new:CENT3","cell.type","rough","unknown","none","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020","LHCENT3","487144598",TRUE
"75","13565080","Hoodwink 343929 ASB","Primary","Primary","Primary","Primary","CENT","AV4","Centrifugal","CENT2","CENT2","327499164","new","new:CENT2","cell.type","rough","unknown","none","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020","LHCENT2","327499164",TRUE
"76","3094186","[LH.R]-> 3094187 Plummet ASB","Primary","Primary","Primary","Primary","DN","PV9","PV9a","PV9a1","DNp44","542751938","old","VGlut-F-200225","cell.type","rough","unknown","none","Marin et al. 2020","Marin et al. 2020","LHPV9b1","542751938",TRUE
