"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type"
"822005494","LH103c","PVL03","PVL03o","PVL03lc_pct",FALSE,"LHN","LHPV2a1","VPNp&v1_posterior","BLP1_posterior","4181593","good","L258#16","good",TRUE,FALSE,"LHPV2","LHPV2a1"
"886130319","LH103d","PVL03","PVL03o","PVL03ld_pct",FALSE,"LHN","LHPV2a1","VPNp&v1_posterior","BLP1_posterior","none","none","L258#15","good",TRUE,FALSE,"LHPV2","LHPV2a1"
"5813014218","LH103d","PVL03","PVL03o","PVL03ld_pct",FALSE,"LHN","LHPV2a1","VPNp&v1_posterior","BLP1_posterior","none","none","L258#18","good",TRUE,FALSE,"LHPV2","LHPV2a1"
"5813041244","LH103d","PVL03","PVL03o","PVL03ld_pct",FALSE,"LHN","LHPV2a1","VPNp&v1_posterior","BLP1_posterior","none","none","L258#6","good",TRUE,FALSE,"LHPV2","LHPV2a1"
"822684007","LH103e","PVL03","PVL03o","PVL03ln_pct",FALSE,"LHN","LHPV2a1","VPNp&v1_posterior","BLP1_posterior","none","none","L258#8","medium",TRUE,FALSE,"LHPV2","LHPV2a1"
"763731153","LH103g","PVL03","PVL03o","PVL03or_pct",FALSE,"LHN","LHPV2d1","VPNp&v1_posterior","BLP1_posterior","none","none","Cha-F-400222","medium",TRUE,FALSE,"LHPV2","LHPV2d1"
"764409134","LH103g","PVL03","PVL03o","PVL03or_pct",FALSE,"LHN","LHPV2d1","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2d1"
"724820565","LH103h","PVL03","PVL03o","PVL03ot_pct",FALSE,"LHN","LHPV2a1","VPNp&v1_posterior","BLP1_posterior","none","none","Cha-F-000110","medium",TRUE,FALSE,"LHPV2","LHPV2a1"
"822009511","LH103h","PVL03","PVL03o","PVL03ot_pct",FALSE,"LHN","LHPV2a1","VPNp&v1_posterior","BLP1_posterior","3931886","good","L2013#2","good",TRUE,FALSE,"LHPV2","LHPV2a1"
"854776068","PLP062b","PDL09","PDL09e","PDL09oh_pct",FALSE,"LHN","LHPV2c2","VLPp&l1_dorsal","DPLpv_dorsal","none","none","L1328#1","good",FALSE,FALSE,"LHPV2","LHPV2c2"
"889194717","PLP062b","PDL09","PDL09e","PDL09oh_pct",FALSE,"LHN","LHPV2c2","VLPp&l1_dorsal","DPLpv_dorsal","none","none","L1328#2","medium",FALSE,FALSE,"LHPV2","LHPV2c2"
"1007882308","PLP062b","PDL09","PDL09e","PDL09oh_pct",FALSE,"LHN","LHPV2c2","VLPp&l1_dorsal","DPLpv_dorsal","none","none","L1328#4","good",FALSE,FALSE,"LHPV2","LHPV2c2"
"794752471","PLP067a","PDL12","PDL12i","PDL12oq_pct",FALSE,"LHN","LHPV2i1","LHl4_posterior","BLD1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2i1"
"943416162","PLP067a","PDL12","PDL12i","PDL12oq_pct",FALSE,"LHN","LHPV2i1","LHl4_posterior","BLD1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2i1"
"725860918","PLP067b","PDL12","PDL12i","PDL12w_pct",FALSE,"LHN","LHPV2i2","LHl4_posterior","BLD1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2i2"
"913754682","PLP067b","PDL12","PDL12i","PDL12w_pct",FALSE,"LHN","LHPV2i2","LHl4_posterior","BLD1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2i2"
"667538952","PLP071a","PDL12","PDL12r","PDL12k_pct",FALSE,"LHN","LHPV2k1","LHl4_posterior","BLD1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2k1"
"729957687","PLP071a","PDL12","PDL12r","PDL12k_pct",FALSE,"LHN","LHPV2k1","LHl4_posterior","BLD1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2k1"
"1005149651","PLP077a","PDL12","PDL12h","PDL12og_pct",FALSE,"LHN","LHPV2l1","LHl4_posterior","BLD1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2l1"
"881342447","PLP114a","PVL03","PVL03v","PVL03d_pct",FALSE,"LHN","LHPV2f1","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2f1"
"5813016163","PLP114a","PVL03","PVL03v","PVL03d_pct",FALSE,"LHN","LHPV2f1","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2f1"
"882383361","PLP114b","PVL03","PVL03v","PVL03i_pct",FALSE,"LHN","LHPV2f1","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2f1"
"912045124","PLP114b","PVL03","PVL03v","PVL03i_pct",FALSE,"LHN","LHPV2f1","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2f1"
"1222769755","PLP125a","PVL03","PVL03w","PVL03a_pct",FALSE,"LHN","LHPV2b1","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2b1"
"763652770","SLP171a","PDL09","PDL09b","PDL09b_pct",FALSE,"LHN","LHPV2c6","VLPp&l1_dorsal","DPLpv_dorsal","none","none","Gad1-F-500328","good",FALSE,TRUE,"LHPV2","LHPV2c6"
"764001607","SLP171a","PDL09","PDL09b","PDL09b_pct",FALSE,"LHN","LHPV2c6","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",FALSE,TRUE,"LHPV2","LHPV2c6"
"828144363","SLP171a","PDL09","PDL09b","PDL09b_pct",FALSE,"LHN","LHPV2c5","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",FALSE,TRUE,"LHPV2","LHPV2c5"
"857806966","SLP171a","PDL09","PDL09b","PDL09b_pct",FALSE,"LHN","LHPV2c6","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",FALSE,TRUE,"LHPV2","LHPV2c6"
"915792794","SLP171a","PDL09","PDL09b","PDL09b_pct",FALSE,"LHN","LHPV2c6","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",FALSE,TRUE,"LHPV2","LHPV2c6"
"946485296","SLP171a","PDL09","PDL09b","PDL09b_pct",FALSE,"LHN","LHPV2c5","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",FALSE,TRUE,"LHPV2","LHPV2c5"
"5813013545","SLP171a","PDL09","PDL09b","PDL09b_pct",FALSE,"LHN","LHPV2c6","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",FALSE,TRUE,"LHPV2","LHPV2c6"
